ACTUAL PROOF               ,The New Real Book Eb III.pdf,8
THE AERIE                  ,The New Real Book Eb III.pdf,9
AIN'T THAT PECULIAR        ,The New Real Book Eb III.pdf,11
AJA'S THEME                ,The New Real Book Eb III.pdf,13
ALMOST LIKE BEING IN LOVE  ,The New Real Book Eb III.pdf,14
AMERICAN GOTHIC            ,The New Real Book Eb III.pdf,15
AND IT ALL GOES ROUND      ,The New Real Book Eb III.pdf,17
ANOTHER STAR               ,The New Real Book Eb III.pdf,19
ANOTHER TIME               ,The New Real Book Eb III.pdf,21
APPOINTMENT IN GHANA       ,The New Real Book Eb III.pdf,22
ARIETAS                    ,The New Real Book Eb III.pdf,24
AUTUMN SERENADE            ,The New Real Book Eb III.pdf,27
B-STING                    ,The New Real Book Eb III.pdf,29
BABY COME TO ME            ,The New Real Book Eb III.pdf,31
BACKSTAGE SALLY            ,The New Real Book Eb III.pdf,33
A BALLAD FOR DOLL          ,The New Real Book Eb III.pdf,35
BALLAD FOR TWO MUSICIANS   ,The New Real Book Eb III.pdf,36
BIRD OF BEAUTY             ,The New Real Book Eb III.pdf,38
BLACK NILE                 ,The New Real Book Eb III.pdf,40
BLUE MOON                  ,The New Real Book Eb III.pdf,41
BLUE SPIRITS               ,The New Real Book Eb III.pdf,43
BLUE TUESDAY               ,The New Real Book Eb III.pdf,47
BODYAND SOUL               ,The New Real Book Eb III.pdf,48
BROTHERS OF THE BOTTOM ROW ,The New Real Book Eb III.pdf,50
BU'S DELIGHT               ,The New Real Book Eb III.pdf,52
BUD POWELL                 ,The New Real Book Eb III.pdf,56
BUTTERFLY                  ,The New Real Book Eb III.pdf,58
CAN'T STOP THE WIND        ,The New Real Book Eb III.pdf,60
CARAVAN                    ,The New Real Book Eb III.pdf,64
CEORA                      ,The New Real Book Eb III.pdf,66
CHAIRS AND CHILDREN        ,The New Real Book Eb III.pdf,67
CHICK'S TUNE               ,The New Real Book Eb III.pdf,69
CIRCULAR MOTION            ,The New Real Book Eb III.pdf,71
CIRRUS                     ,The New Real Book Eb III.pdf,72
CLOSE YOUR EYES            ,The New Real Book Eb III.pdf,76
COOL GREEN                 ,The New Real Book Eb III.pdf,77
CREEPIN'                   ,The New Real Book Eb III.pdf,78
D MINOR MINT               ,The New Real Book Eb III.pdf,80
DADDY'S GIRL  CYNTHIA      ,The New Real Book Eb III.pdf,81
DANCING IN THE STREET      ,The New Real Book Eb III.pdf,83
DARIUS DANCE               ,The New Real Book Eb III.pdf,85
DAY DREAM                  ,The New Real Book Eb III.pdf,87
DEXTER                     ,The New Real Book Eb III.pdf,88
DIENDA   ,The New Real Book Eb III.pdf,89
DIVERTAMENTO               ,The New Real Book Eb III.pdf,90
DOLPHIN DANCE              ,The New Real Book Eb III.pdf,92
DON'T ASK WHY              ,The New Real Book Eb III.pdf,93
DON'T BE THAT WAY          ,The New Real Book Eb III.pdf,94
DON'T BLAME ME             ,The New Real Book Eb III.pdf,95
THE DOUBLE UP              ,The New Real Book Eb III.pdf,96
DREAMIN'                   ,The New Real Book Eb III.pdf,97
EL GAUCHO                  ,The New Real Book Eb III.pdf,99
EMILY                           ,The New Real Book Eb III.pdf,100
EVERYTHING I HAVE IS YOURS      ,The New Real Book Eb III.pdf,101
FALL WITH ME                    ,The New Real Book Eb III.pdf,102
FOR ALL WE KNOW                 ,The New Real Book Eb III.pdf,104
FREEDOMLAND                     ,The New Real Book Eb III.pdf,105
FROM DAY TO DAY                 ,The New Real Book Eb III.pdf,106
THE GENTLE RAIN                 ,The New Real Book Eb III.pdf,108
GET READY                       ,The New Real Book Eb III.pdf,109
A GHOST OF A CHANCE ,The New Real Book Eb III.pdf,111
GRAND CENTRAL                   ,The New Real Book Eb III.pdf,112
GUSH                            ,The New Real Book Eb III.pdf,114
HARD EIGHTS                     ,The New Real Book Eb III.pdf,115
HEAT WAVE                       ,The New Real Book Eb III.pdf,118
HERZOG                          ,The New Real Book Eb III.pdf,120
HOLD ON  I'M COMING             ,The New Real Book Eb III.pdf,122
HOW SWEET IT IS                 ,The New Real Book Eb III.pdf,123
I CAN'T HELP IT                 ,The New Real Book Eb III.pdf,125
I FALL IN LOVE TOO EASILY       ,The New Real Book Eb III.pdf,126
I GOT IT BAD                    ,The New Real Book Eb III.pdf,127
I HEAR A RHAPSODY               ,The New Real Book Eb III.pdf,129
I HEARD IT THROUGH THE GRAPEVINE,The New Real Book Eb III.pdf,130
I WANTED TO SAY                 ,The New Real Book Eb III.pdf,132
I'M GETTING SENTIMENTAL OVER YOU,The New Real Book Eb III.pdf,133
I'M LOSING YOU                  ,The New Real Book Eb III.pdf,134
I'M THROUGH WITH LOVE           ,The New Real Book Eb III.pdf,136
IF YOU COULD SEE ME NOW         ,The New Real Book Eb III.pdf,138
IN A MELLOW TONE                ,The New Real Book Eb III.pdf,140
IN A SENTIMENTAL MOOD           ,The New Real Book Eb III.pdf,141
IN CASE YOU MISSED IT           ,The New Real Book Eb III.pdf,143
IN LOVE WITH NIGHT              ,The New Real Book Eb III.pdf,145
INNER URGE                      ,The New Real Book Eb III.pdf,146
INVITATION                      ,The New Real Book Eb III.pdf,147
ISOAR                           ,The New Real Book Eb III.pdf,149
ISOTOPE                         ,The New Real Book Eb III.pdf,151
IT ALWAYS IS                    ,The New Real Book Eb III.pdf,152
JEAN DE FLEUR                   ,The New Real Book Eb III.pdf,156
THE JITTERBUG WALTZ             ,The New Real Book Eb III.pdf,158
JOHN'S WALTZ                    ,The New Real Book Eb III.pdf,159
JUST FRIENDS                    ,The New Real Book Eb III.pdf,160
JUST SQUEEZE ME                 ,The New Real Book Eb III.pdf,161
JUST YOU  JUST ME               ,The New Real Book Eb III.pdf,162
KAHLIL THE PROPHET              ,The New Real Book Eb III.pdf,163
KNOCK ON WOOD                   ,The New Real Book Eb III.pdf,165
THE LAMP IS LOW                 ,The New Real Book Eb III.pdf,167
LAST NITE                       ,The New Real Book Eb III.pdf,168
LAST SEASON                     ,The New Real Book Eb III.pdf,170
LAURA                           ,The New Real Book Eb III.pdf,172
LET'S STAY TOGETHER             ,The New Real Book Eb III.pdf,173
LITHA                           ,The New Real Book Eb III.pdf,175
LONELY WOMAN                    ,The New Real Book Eb III.pdf,177
LOOK AT THE BIRDIE              ,The New Real Book Eb III.pdf,178
LOVE LETTER                     ,The New Real Book Eb III.pdf,180
LOVE'S HAUNTS                   ,The New Real Book Eb III.pdf,181
LULLABY IN RHYTHM               ,The New Real Book Eb III.pdf,183
MAIDEN VOYAGE                ,The New Real Book Eb III.pdf,184
MAMACITA                     ,The New Real Book Eb III.pdf,185
MAN FACING NORTH             ,The New Real Book Eb III.pdf,188
METAMORPHOSIS                ,The New Real Book Eb III.pdf,190
MIDNIGHT SILENCE             ,The New Real Book Eb III.pdf,194
MONK ON THE RUN              ,The New Real Book Eb III.pdf,196
MOON AND SAND                ,The New Real Book Eb III.pdf,198
MOONGLOW                     ,The New Real Book Eb III.pdf,200
MOONLIGHT SERENADE           ,The New Real Book Eb III.pdf,201
MY GIRL                      ,The New Real Book Eb III.pdf,202
NEVER SAID (Chan's Song)     ,The New Real Book Eb III.pdf,204
NEW BOOTS                    ,The New Real Book Eb III.pdf,206
NEXT FUTURE                  ,The New Real Book Eb III.pdf,207
NO WAY OUT                   ,The New Real Book Eb III.pdf,209
NOWHERE TO RUN               ,The New Real Book Eb III.pdf,211
OFF FLOW                     ,The New Real Book Eb III.pdf,213
ON GREEN DOLPHIN STREET      ,The New Real Book Eb III.pdf,215
ONE BIRD ONE STONE          ,The New Real Book Eb III.pdf,217
ONE FINGER SNAP              ,The New Real Book Eb III.pdf,221
000 BABY BABY                ,The New Real Book Eb III.pdf,224
OPUS DE FUNK                 ,The New Real Book Eb III.pdf,226
OUT A DAY                    ,The New Real Book Eb III.pdf,251
OVER THE RAINBOW             ,The New Real Book Eb III.pdf,227
PART-TIME LOVER              ,The New Real Book Eb III.pdf,229
PENDULUM                     ,The New Real Book Eb III.pdf,231
PRELUDE TO A KISS            ,The New Real Book Eb III.pdf,232
PROMISE                      ,The New Real Book Eb III.pdf,233
PUNJAB                       ,The New Real Book Eb III.pdf,235
PYRAMID                      ,The New Real Book Eb III.pdf,237
QUESTION MARK                ,The New Real Book Eb III.pdf,239
RAINLAND                     ,The New Real Book Eb III.pdf,240
REACH OUT I'LL BE THERE     ,The New Real Book Eb III.pdf,245
REAL LIFE                    ,The New Real Book Eb III.pdf,247
RED'S BLUES                  ,The New Real Book Eb III.pdf,249
RELENTLESS                   ,The New Real Book Eb III.pdf,250
RESPECT                      ,The New Real Book Eb III.pdf,252
REVELATION                   ,The New Real Book Eb III.pdf,254
RIDDLES                      ,The New Real Book Eb III.pdf,256
RITUAL                       ,The New Real Book Eb III.pdf,258
RUBY                         ,The New Real Book Eb III.pdf,260
 SAIL AWAY                   ,The New Real Book Eb III.pdf,262
THE SECOND TIME AROUND       ,The New Real Book Eb III.pdf,264
 SERENATA                    ,The New Real Book Eb III.pdf,265
 THE SHADOW OF YOUR SMILE    ,The New Real Book Eb III.pdf,267
 SHORT STORY                 ,The New Real Book Eb III.pdf,268
 SINCE WE MET                ,The New Real Book Eb III.pdf,272
 SMILE PLEASE                ,The New Real Book Eb III.pdf,274
 SO NEAR  SO FAR             ,The New Real Book Eb III.pdf,273
 SOLITUDE                    ,The New Real Book Eb III.pdf,275
 SPEAK LIKE A CHILD          ,The New Real Book Eb III.pdf,276
 SPRING IS HERE              ,The New Real Book Eb III.pdf,278
 STAIRWAY TO THE STARS       ,The New Real Book Eb III.pdf,279
 STAR EYES                   ,The New Real Book Eb III.pdf,280
 STARS FELL ON ALABAMA       ,The New Real Book Eb III.pdf,282
 STEEPIAN FAITH              ,The New Real Book Eb III.pdf,283
STEP LIGHTLY                    ,The New Real Book Eb III.pdf,285
STOMPIN' AT THE SAVOY           ,The New Real Book Eb III.pdf,286
STREET OF DREAMS                ,The New Real Book Eb III.pdf,287
SUB AQUA                        ,The New Real Book Eb III.pdf,288
SUGAR                           ,The New Real Book Eb III.pdf,290
SUPER BLUE                      ,The New Real Book Eb III.pdf,291
SWEET LORRAINE                  ,The New Real Book Eb III.pdf,293
SWEET LOVE                      ,The New Real Book Eb III.pdf,295
TAKING A CHANCE ON LOVE         ,The New Real Book Eb III.pdf,297
THAT GIRL                       ,The New Real Book Eb III.pdf,299
THAT OLD FEELING (Standard version),The New Real Book Eb III.pdf,301
THAT OLD FEELING                ,The New Real Book Eb III.pdf,302
THERE'S A LULL IN MY LIFE       ,The New Real Book Eb III.pdf,304
34 SKIDOO                       ,The New Real Book Eb III.pdf,306
THIS IS NEW                     ,The New Real Book Eb III.pdf,307
TINY CAPERS                     ,The New Real Book Eb III.pdf,308
TOKYO DREAM                     ,The New Real Book Eb III.pdf,310
TOO HIGH                        ,The New Real Book Eb III.pdf,312
TOY TUNE                        ,The New Real Book Eb III.pdf,314
THE TRACKS OF MY TEARS          ,The New Real Book Eb III.pdf,315
TUZZ'S SHADOW                   ,The New Real Book Eb III.pdf,317
(USED TO BE A) CHA-CHA          ,The New Real Book Eb III.pdf,319
WALK OF THE NEGRESS             ,The New Real Book Eb III.pdf,321
WARM VALLEY                     ,The New Real Book Eb III.pdf,322
WEE                             ,The New Real Book Eb III.pdf,323
WHAT ARE YOU DOING THE REST OF YOUR LIFE,The New Real Book Eb III.pdf,324
WHAT'S GOING ON?                ,The New Real Book Eb III.pdf,326
WHAT'S LOVE GOT TO DO WITH IT   ,The New Real Book Eb III.pdf,328
WHEN I LOOK IN YOUR EYES        ,The New Real Book Eb III.pdf,330
WHEN LIGHTS ARE LOW             ,The New Real Book Eb III.pdf,332
WHERE ARE YOU?                  ,The New Real Book Eb III.pdf,334
YOU ARE SO BEAUTIFUL            ,The New Real Book Eb III.pdf,335
YOU MUST BELIEVE IN SPRING      ,The New Real Book Eb III.pdf,336
YOU STEPPED OUT OF A DREAM      ,The New Real Book Eb III.pdf,338
YOU'VE CHANGED                  ,The New Real Book Eb III.pdf,339
