Boogie Oogie,zRandb-Guitar-Bible.pdf,3,7
Boom Boom (out go the lights),zRandb-Guitar-Bible.pdf,10,7
Brick House (song book),zRandb-Guitar-Bible.pdf,17,7
But Its Alright,zRandb-Guitar-Bible.pdf,24,5
Dancing in the Street,zRandb-Guitar-Bible.pdf,29,3
Fire,zRandb-Guitar-Bible.pdf,32,7
Get Up (I feel like being a sex machine),zRandb-Guitar-Bible.pdf,39,6
I Can't Help Myself (Sugar Pie Honey Pie),zRandb-Guitar-Bible.pdf,45,3
I Got the Feeling,zRandb-Guitar-Bible.pdf,48,3
I Got You (Feel Good),zRandb-Guitar-Bible.pdf,51,3
I Heard it Through the Grapevine,zRandb-Guitar-Bible.pdf,54,4
I Just Want to Celebrate,zRandb-Guitar-Bible.pdf,58,5
I Second that Emotion,zRandb-Guitar-Bible.pdf,63,10
I Wish (song book),zRandb-Guitar-Bible.pdf,73,5
It's Your Thing,zRandb-Guitar-Bible.pdf,78,3
Love Roller Coaster,zRandb-Guitar-Bible.pdf,81,6
Mustang Sally (song book),zRandb-Guitar-Bible.pdf,87,10
My Babe,zRandb-Guitar-Bible.pdf,97,5
My Girl,zRandb-Guitar-Bible.pdf,102,3
Nadine (Is It You,zRandb-Guitar-Bible.pdf,105,3
No Particular Place to Go,zRandb-Guitar-Bible.pdf,108,7
Pain in My Heart,zRandb-Guitar-Bible.pdf,115,5
Papa Was a Rolling Stone,zRandb-Guitar-Bible.pdf,120,12
Papas Got a Brand New Band,zRandb-Guitar-Bible.pdf,132,3
Pick Up the Pieces (song book),zRandb-Guitar-Bible.pdf,135,7
Please Accept My Love,zRandb-Guitar-Bible.pdf,142,5
Reach Out I'll Be There,zRandb-Guitar-Bible.pdf,147,3
Rocket 88,zRandb-Guitar-Bible.pdf,150,3
Shining Star (song book),zRandb-Guitar-Bible.pdf,153,8
Shot Gun,zRandb-Guitar-Bible.pdf,161,3
Sir Duke (song book),zRandb-Guitar-Bible.pdf,164,4
Super Freak,zRandb-Guitar-Bible.pdf,168,4
This Masquerade (song book),zRandb-Guitar-Bible.pdf,172,7
You've Really Got a Hold on Me,zRandb-Guitar-Bible.pdf,179,2
Your Love Keeps Lifting Me Higher and Higher,zRandb-Guitar-Bible.pdf,181,4